| ddi-0053 | D07AB02 | J05AH01 | Betamethasone | Zidovudine | MODERATE | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1595 | A10BG03 | C03EA01 | Pioglitazone | Chlorthalidone | MODERATE | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1596 | C03EA01 | H02AB01 | Chlorthalidone | Prednisone | MODERATE | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1597 | A03AB08 | C03EA01 | Propantheline | Chlorthalidone | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1598 | A02BA01 | J01AB01 | Cimetidine | Bacampicillin | MODERATE | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1599 | A02BA01 | A12BA02 | Cimetidine | Calcium carbonate | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1600 | A02BA01 | N06BA04 | Cimetidine | Iron | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1601 | A02BA01 | N05BA01 | Cimetidine | Chlorpromazine | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1602 | A02BA01 | N06AB04 | Cimetidine | Citalopram | MAJOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1603 | A02BA01 | J01FA06 | Cimetidine | Clarithromycin | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1604 | A02BA01 | N03AD02 | Cimetidine | Clonazepam | MODERATE | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1605 | A02BA01 | B01AC04 | Cimetidine | Clopidogrel | MODERATE | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1606 | A02BA01 | M04AA01 | Cimetidine | Colchicine | MODERATE | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1607 | A02BA01 | L04AA01 | Cimetidine | Cyclosporine | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1608 | A02BA01 | L01XE02 | Cimetidine | Dasatinib | MAJOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1609 | A02BA01 | N06AX11 | Cimetidine | Desvenlafaxine | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1610 | A02BA01 | C01AA04 | Cimetidine | Digitoxin | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1611 | A02BA01 | C01AA05 | Cimetidine | Digoxin | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1612 | A02BA01 | N02CA02 | Cimetidine | Dihydroergotamine | MODERATE | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1613 | A02BA01 | L01XX17 | Cimetidine | Docetaxel | MODERATE | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1614 | A02BA01 | L01DB02 | Cimetidine | Epirubicin | MAJOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1615 | A02BA01 | A11CC03 | Cimetidine | Ergocalciferol | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1616 | A02BA01 | J01FF02 | Cimetidine | Erythromycin | MODERATE | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1617 | A02BA01 | M01AB03 | Cimetidine | Fenoprofen | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1618 | A02BA01 | B03AC06 | Cimetidine | Ferrous sulfate anhydrous | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1619 | A02BA01 | L01BC02 | Cimetidine | Fluorouracil | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1620 | A02BA01 | M01AE04 | Cimetidine | Flurbiprofen | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1621 | A02BA01 | A10BB12 | Cimetidine | Glimepiride | MODERATE | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1622 | A02BA01 | A10BB17 | Cimetidine | Glipizide | MODERATE | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1623 | A02BA01 | C02CA04 | Cimetidine | Guanfacine | MODERATE | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1624 | A02BA01 | N02AA04 | Cimetidine | Hydromorphone | MODERATE | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1625 | A02BA01 | N06BA01 | Cimetidine | Hydroxyzine | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1626 | A02BA01 | L01XE01 | Cimetidine | Imatinib | MODERATE | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1627 | A02BA01 | N06AA01 | Cimetidine | Imipramine | MODERATE | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1628 | A02BA01 | M01AB06 | Cimetidine | Indomethacin | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1629 | A02BA01 | L01CD05 | Cimetidine | Irinotecan | MODERATE | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1630 | A02BA01 | M01AE03 | Cimetidine | Ketoprofen | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1631 | A02BA01 | H03AB02 | Cimetidine | Levothyroxine | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1632 | A02BA01 | P02CA01 | Cimetidine | Mebendazole | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1633 | A02BA01 | L01AA03 | Cimetidine | Melphalan | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1634 | A02BA01 | N03AA01 | Cimetidine | Methylphenobarbital | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1635 | A02BA01 | C07AB05 | Cimetidine | Metoprolol | MODERATE | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1636 | A02BA01 | G01AX10 | Cimetidine | Metronidazole | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1637 | A02BA01 | N05BA06 | Cimetidine | Midazolam | MODERATE | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1638 | A02BA01 | G02BB03 | Cimetidine | Mifepristone | MODERATE | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1639 | A02BA01 | M01AE02 | Cimetidine | Naproxen | MODERATE | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1640 | A02BA01 | L01XE03 | Cimetidine | Nilotinib | MODERATE | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1641 | A02BA01 | R03CC02 | Cimetidine | Opium | MODERATE | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1642 | A02BA01 | M01AG01 | Cimetidine | Oxaprozin | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1643 | A02BA01 | N02AA05 | Cimetidine | Oxycodone | MAJOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1644 | A02BA01 | N02AA06 | Cimetidine | Oxymorphone | MODERATE | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1645 | A02BA01 | N06AB09 | Cimetidine | Paroxetine | MODERATE | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1646 | A02BA01 | L01BA02 | Cimetidine | Pemetrexed | MODERATE | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1647 | A02BA01 | M01AB05 | Cimetidine | Piroxicam | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1648 | A02BA01 | N03AB03 | Cimetidine | Primidone | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1649 | A02BA01 | N05AE04 | Cimetidine | Quetiapine | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1650 | A02BA01 | P01BC01 | Cimetidine | Quinine | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1651 | A02BA01 | N04BC04 | Cimetidine | Rasagiline | MODERATE | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1652 | A02BA01 | N05AE05 | Cimetidine | Risperidone | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1653 | A02BA01 | B01AE07 | Cimetidine | Rivaroxaban | MODERATE | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1654 | A02BA01 | L04AX09 | Cimetidine | Sirolimus | MODERATE | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1655 | A02BA01 | M01AB09 | Cimetidine | Sulindac | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1656 | A02BA01 | L04AD02 | Cimetidine | Tacrolimus | MODERATE | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1657 | A02BA01 | L02AB01 | Cimetidine | Tamoxifen | MAJOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1658 | A02BA01 | D01AE15 | Cimetidine | Terbinafine | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1659 | A02BA01 | M03BX01 | Cimetidine | Tizanidine | MAJOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1660 | A02BA01 | B01AB01 | Cimetidine | Warfarin | MODERATE | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1661 | A02BA01 | N05AD03 | Cimetidine | Zaleplon | MODERATE | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1662 | A02BA01 | N05AD02 | Cimetidine | Zolpidem | MODERATE | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1663 | A12BA02 | J01MA02 | Calcium carbonate | Ciprofloxacin | MODERATE | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1664 | A12BA04 | J01MA02 | Calcium citrate | Ciprofloxacin | MODERATE | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1665 | A12BA05 | J01MA02 | Calcium gluconate | Ciprofloxacin | MODERATE | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1666 | J01MA02 | N06BA04 | Ciprofloxacin | Iron | MODERATE | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1667 | J01FA06 | J01MA02 | Clarithromycin | Ciprofloxacin | MODERATE | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1668 | A10BF07 | J01MA02 | Dapagliflozin | Ciprofloxacin | MODERATE | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1669 | A10BB12 | J01MA02 | Glimepiride | Ciprofloxacin | MAJOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1670 | A10BB17 | J01MA02 | Glipizide | Ciprofloxacin | MAJOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1671 | A04AD10 | J01MA02 | Granisetron | Ciprofloxacin | MODERATE | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1672 | H01BA02 | J01MA02 | Insulin aspart (aspart) | Ciprofloxacin | MAJOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1673 | A10AB02 | J01MA02 | Insulin glulisine | Ciprofloxacin | MAJOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1674 | A07EC09 | J01MA02 | Insulin human (zinc) | Ciprofloxacin | MAJOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1675 | A06AC04 | J01MA02 | Lactulose | Ciprofloxacin | MODERATE | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1676 | A03FA01 | J01MA02 | Metoclopramide | Ciprofloxacin | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1677 | G01AX10 | J01MA02 | Metronidazole | Ciprofloxacin | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1678 | A02BC01 | J01MA02 | Omeprazole | Ciprofloxacin | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1679 | A04AD08 | J01MA02 | Ondansetron | Ciprofloxacin | MODERATE | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-1680 | H02AB01 | J01MA02 | Prednisone | Ciprofloxacin | MAJOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
